"id","name","city_ids/id"
"l10n_cl_fe.ur_SaD","San Fernando","l10n_cl_fe.CL06301,l10n_cl_fe.CL06303,l10n_cl_fe.CL06305,l10n_cl_fe.CL06308"
"l10n_cl_fe.ur_SaV","San Vicente de Tagua Tagua","l10n_cl_fe.CL06107,l10n_cl_fe.CL06112,l10n_cl_fe.CL06113,l10n_cl_fe.CL06117"
"l10n_cl_fe.ur_SaZ","Santa Cruz","l10n_cl_fe.CL06302,l10n_cl_fe.CL06304,l10n_cl_fe.CL06306,l10n_cl_fe.CL06307,l10n_cl_fe.CL06309,l10n_cl_fe.CL06310"
"l10n_cl_fe.ur_SaC","Santiago Centro","l10n_cl_fe.CL13101"
"l10n_cl_fe.ur_SaN","Santiago Norte","l10n_cl_fe.CL13104,l10n_cl_fe.CL13107,l10n_cl_fe.CL13108,l10n_cl_fe.CL13125,l10n_cl_fe.CL13127,l10n_cl_fe.CL13301,l10n_cl_fe.CL13302,l10n_cl_fe.CL13303"
"l10n_cl_fe.ur_SaO","Santiago Oriente","l10n_cl_fe.CL13120,l10n_cl_fe.CL13114,l10n_cl_fe.CL13115,l10n_cl_fe.CL13123,l10n_cl_fe.CL13132"
"l10n_cl_fe.ur_SaP","Santiago Poniente","l10n_cl_fe.CL13103,l10n_cl_fe.CL13106,l10n_cl_fe.CL13117,l10n_cl_fe.CL13124,l10n_cl_fe.CL13126,l10n_cl_fe.CL13128,l10n_cl_fe.CL13503,l10n_cl_fe.CL13501,l10n_cl_fe.CL13502,l10n_cl_fe.CL13504,l10n_cl_fe.CL13505,l10n_cl_fe.CL13601,l10n_cl_fe.CL13602"
"l10n_cl_fe.ur_SaS","Santiago Sur","l10n_cl_fe.CL13109,l10n_cl_fe.CL13111,l10n_cl_fe.CL13112,l10n_cl_fe.CL13116,l10n_cl_fe.CL13121,l10n_cl_fe.CL13129,l10n_cl_fe.CL13130,l10n_cl_fe.CL13131"
"l10n_cl_fe.ur_TaT","Tal-Tal","l10n_cl_fe.CL02104"
"l10n_cl_fe.ur_Tac","Talca","l10n_cl_fe.CL07101,l10n_cl_fe.CL07103,l10n_cl_fe.CL07105,l10n_cl_fe.CL07106,l10n_cl_fe.CL07107,l10n_cl_fe.CL07108,l10n_cl_fe.CL07109,l10n_cl_fe.CL07406"
"l10n_cl_fe.ur_Tah","Talcahuano","l10n_cl_fe.CL08110,l10n_cl_fe.CL08112"
"l10n_cl_fe.ur_Tem","Temuco","l10n_cl_fe.CL09101,l10n_cl_fe.CL09102,l10n_cl_fe.CL09103,l10n_cl_fe.CL09105,l10n_cl_fe.CL09106,l10n_cl_fe.CL09107,l10n_cl_fe.CL09108,l10n_cl_fe.CL09109,l10n_cl_fe.CL09110,l10n_cl_fe.CL09111,l10n_cl_fe.CL09112,l10n_cl_fe.CL09113,l10n_cl_fe.CL09114,l10n_cl_fe.CL09116,l10n_cl_fe.CL09117,l10n_cl_fe.CL09118,l10n_cl_fe.CL09119,l10n_cl_fe.CL09121"
"l10n_cl_fe.ur_Toc","Tocopilla","l10n_cl_fe.CL02301,l10n_cl_fe.CL02302"
"l10n_cl_fe.ur_Vld","Valdivia","l10n_cl_fe.CL14101,l10n_cl_fe.CL14102,l10n_cl_fe.CL14103,l10n_cl_fe.CL14104,l10n_cl_fe.CL14105,l10n_cl_fe.CL14106,l10n_cl_fe.CL14107,l10n_cl_fe.CL14108,l10n_cl_fe.CL14201,l10n_cl_fe.CL14202,l10n_cl_fe.CL14203,l10n_cl_fe.CL14204"
"l10n_cl_fe.ur_Val","Vallenar","l10n_cl_fe.CL03301,l10n_cl_fe.CL03302,l10n_cl_fe.CL03303,l10n_cl_fe.CL03304"
"l10n_cl_fe.ur_Vlp","Valparaíso","l10n_cl_fe.CL05101,l10n_cl_fe.CL05102,l10n_cl_fe.CL05103,l10n_cl_fe.CL05104,l10n_cl_fe.CL05105,l10n_cl_fe.CL05107,l10n_cl_fe.CL05109,l10n_cl_fe.CL05201"
"l10n_cl_fe.ur_Vic","Victoria","l10n_cl_fe.CL09203,l10n_cl_fe.CL09205,l10n_cl_fe.CL09207,l10n_cl_fe.CL09210,l10n_cl_fe.CL09211"
"l10n_cl_fe.ur_ViA","Villa Alemana","l10n_cl_fe.CL05106,l10n_cl_fe.CL05108"
"l10n_cl_fe.ur_ViR","Villarrica","l10n_cl_fe.CL09104,l10n_cl_fe.CL09115,l10n_cl_fe.CL09120"
"l10n_cl_fe.ur_ViM","Viña del Mar","l10n_cl_fe.CL05103,l10n_cl_fe.CL05105,l10n_cl_fe.CL05107,l10n_cl_fe.CL05109"
